ICAO аэродром вылета,ICAO аэродром прибытия,Аэропорт вылета,Аэропорт прибытия,"Дистанция, км"
UNAA,UNIB,UNAA | ABA | Абакан,UNIB | Байкит,931
UNAA,UNBB,UNAA | ABA | Абакан,UNBB | BAX | Барнаул | Имени Германа Титова,521
UNAA,UIBB,UNAA | ABA | Абакан,UIBB | BTK | Братск,720
UNAA,UNIW,UNAA | ABA | Абакан,UNIW | Ванавара,988
UNAA,UNBG,UNAA | ABA | Абакан,UNBG | RGK | Горно-Алтайск,422
UNAA,UNII,UNAA | ABA | Абакан,UNII | EIE | Енисейск,528
UNAA,UIII,UNAA | ABA | Абакан,UIII | IKT | Иркутск,887
UNAA,UNEE,UNAA | ABA | Абакан,UNEE | KEJ | Кемерово | Имени Алексея Леонова,381
UNAA,UNKI,UNAA | ABA | Абакан,UNKI | Кодинск,712
UNAA,UNKL,UNAA | ABA | Абакан,UNKL | KJA | Красноярск | Емельяново,279
UNAA,UNKY,UNAA | ABA | Абакан,UNKY | KYZ | Кызыл,307
UNAA,UNIM,UNAA | ABA | Абакан,UNIM | Мотыгино,536
UNAA,UNWW,UNAA | ABA | Абакан,UNWW | NOZ | Новокузнецк | Спиченково,297
UNAA,UNNT,UNAA | ABA | Абакан,UNNT | OVB | Новосибирск | Толмачёво,588
UNAA,UNIP,UNAA | ABA | Абакан,UNIP | TGP | Подкаменная Тунгуска,878
UNAA,UNIS,UNAA | ABA | Абакан,UNIS | Северо-Енисейск,745
UNAA,UNTT,UNAA | ABA | Абакан,UNTT | TOF | Томск | Богашёво,491
UNAA,UITT,UNAA | ABA | Абакан,UITT | UKX | Усть-Кут | Усть-Кут,972
UERA,UNIB,UERA | Айхал,UNIB | Байкит,884
UERA,UIKB,UERA | Айхал,UIKB | ODO | Бодайбо,913
UERA,UNIW,UERA | Айхал,UNIW | Ванавара,777
UERA,UENI,UERA | Айхал,UENI | VHV | Верхневилюйск,500
UERA,UENW,UERA | Айхал,UENW | VYI | Вилюйск,539
UERA,UIKE,UERA | Айхал,UIKE | ERG | Ербогачен,550
UERA,UEVV,UERA | Айхал,UEVV | ZIX | Жиганск,535
UERA,UIKK,UERA | Айхал,UIKK | KCK | Киренск,930
UERA,UERL,UERA | Айхал,UERL | ULK | Ленск | Ленск,606
UERA,UEMM,UERA | Айхал,UEMM | GYG | Маган,975
UERA,UERR,UERA | Айхал,UERR | MJZ | Мирный,400
UERA,UENN,UERA | Айхал,UENN | NYR | Нюрба,439
UERA,UEMO,UERA | Айхал,UEMO | OLZ | Олёкминск,764
UERA,UERO,UERA | Айхал,UERO | ONK | Оленек,287
UERA,UERP,UERA | Айхал,UERP | PYJ | Полярный,53
UERA,UEBS,UERA | Айхал,UEBS | SUK | Саккырыр,847
UERA,UEMS,UERA | Айхал,UEMS | Сангар,780
UERA,UERS,UERA | Айхал,UERS | SYS | Саскылах,673
UERA,UENS,UERA | Айхал,UENS | SUY | Сунтар,514
UERA,UECT,UERA | Айхал,UECT | TLK | Талакан,678
UERA,UEST,UERA | Айхал,UEST | IKS | Тикси,942
UERA,UNIT,UERA | Айхал,UNIT | Тура-Горный,551
UERA,UOHH,UERA | Айхал,UOHH | HTG | Хатанга,761
UERA,UEEE,UERA | Айхал,UEEE | YKS | Якутск,985
UEEA,UHNA,UEEA | ADH | Алдан,UHNA | Аян | Мунук,793
UEEA,UHBB,UEEA | ADH | Алдан,UHBB | BQS | Благовещенск | Игнатьево,919
UEEA,UIKB,UEEA | ADH | Алдан,UIKB | ODO | Бодайбо,660
UEEA,UHHG,UEEA | ADH | Алдан,UHHG | Бомнак,482
UEEA,UENI,UEEA | ADH | Алдан,UENI | VHV | Верхневилюйск,607
UEEA,UENW,UEEA | ADH | Алдан,UENW | VYI | Вилюйск,607
UEEA,UEVV,UEEA | ADH | Алдан,UEVV | ZIX | Жиганск,918
UEEA,UHBE,UEEA | ADH | Алдан,UHBE | Зея | Зея,557
UEEA,UERL,UEEA | ADH | Алдан,UERL | ULK | Ленск | Ленск,640
UEEA,UEMM,UEEA | ADH | Алдан,UEMM | GYG | Маган,452
UEEA,UERR,UEEA | ADH | Алдан,UERR | MJZ | Мирный,760
UEEA,UELL,UEEA | ADH | Алдан,UELL | NER | Нерюнгри | Чульман,190
UEEA,UENN,UEEA | ADH | Алдан,UENN | NYR | Нюрба,647
UEEA,UEMO,UEEA | ADH | Алдан,UEMO | OLZ | Олёкминск,343
UEEA,UEMS,UEEA | ADH | Алдан,UEMS | Сангар,606
UEEA,UENS,UEEA | ADH | Алдан,UENS | SUY | Сунтар,584
UEEA,UIKG,UEEA | ADH | Алдан,UIKG | Таксимо,675
UEEA,UECT,UEEA | ADH | Алдан,UECT | TLK | Талакан,830
UEEA,UHBW,UEEA | ADH | Алдан,UHBW | TYD | Тында | Тында,371
UEEA,UEMU,UEEA | ADH | Алдан,UEMU | UMS | Усть-Мая,547
UEEA,UEMH,UEEA | ADH | Алдан,UEMH | KDY | Хандыга | Теплый Ключ,778
UEEA,UIAR,UEEA | ADH | Алдан,UIAR | Чара,464
UEEA,UHHY,UEEA | ADH | Алдан,UHHY | Чумикан,744
UEEA,UHBP,UEEA | ADH | Алдан,UHBP | Экимчан | Экимчан,774
UEEA,UEEE,UEEA | ADH | Алдан,UEEE | YKS | Якутск,457
ULDD,USDB,ULDD | AMV | Амдерма,USDB | BVJ | Бованенково,265
ULDD,ULDW,ULDD | AMV | Амдерма,ULDW | VRI | Варандей,167
ULDD,UUYW,ULDD | AMV | Амдерма,UUYW | VKT | Воркута,272
ULDD,UODD,ULDD | AMV | Амдерма,UODD | DKS | Диксон,778
ULDD,USMM,ULDD | AMV | Амдерма,USMM | NYM | Надым,670
ULDD,ULAM,ULDD | AMV | Амдерма,ULAM | NNM | Нарьян-Мар,415
ULDD,USMU,ULDD | AMV | Амдерма,USMU | NUX | Новый Уренгой,747
ULDD,UOOO,ULDD | AMV | Амдерма,UOOO | NSK | Норильск | Алыкель,999
ULDD,USRO,ULDD | AMV | Амдерма,USRO | NOJ | Ноябрьск,950
ULDD,USDA,ULDD | AMV | Амдерма,USDA | SBT | Сабетта,422
ULDD,USDD,ULDD | AMV | Амдерма,USDD | SLY | Салехард,410
ULDD,USDS,ULDD | AMV | Амдерма,USDS | TQL | Тарко-Сале,877
ULDD,UUYS,ULDD | AMV | Амдерма,UUYS | USK | Усинск,454
ULDD,USDM,ULDD | AMV | Амдерма,USDM | Утренний,494
ULDD,USMQ,ULDD | AMV | Амдерма,USMQ | Ямбург,578
UHMA,UHMR,UHMA | DYR | Анадырь | Угольный,UHMR | Беринговский,205
UHMA,UHME,UHMA | DYR | Анадырь | Угольный,UHME | Залив Креста,232
UHMA,UHML,UHMA | DYR | Анадырь | Угольный,UHML | Залив Лаврентия,535
UHMA,UHPZ,UHMA | DYR | Анадырь | Угольный,UHPZ | Каменское,624
UHMA,UHMK,UHMA | DYR | Анадырь | Угольный,UHMK | KPW | Кепервеем,624
UHMA,UHPN,UHMA | DYR | Анадырь | Угольный,UHPN | Манилы,663
UHMA,UHMO,UHMA | DYR | Анадырь | Угольный,UHMO | KVM | Марково | Марково,349
UHMA,UHMN,UHMA | DYR | Анадырь | Угольный,UHMN | Омолон,811
UHMA,UHPD,UHMA | DYR | Анадырь | Угольный,UHPD | Оссора,980
UHMA,UHPA,UHMA | DYR | Анадырь | Угольный,UHPA | Пахачи,641
UHMA,UHMP,UHMA | DYR | Анадырь | Угольный,UHMP | PWE | Певек,640
UHMA,UHMD,UHMA | DYR | Анадырь | Угольный,UHMD | PVS | Бухта Провидения,433
UHMA,UHMW,UHMA | DYR | Анадырь | Угольный,UHMW | SWV | Северо-Эвенск,974
UHMA,UHPT,UHMA | DYR | Анадырь | Угольный,UHPT | Тиличики,771
UHMA,UESS,UHMA | DYR | Анадырь | Угольный,UESS | CYX | Черский,846
URKA,URWA,URKA | AAQ | Анапа | Витязево,URWA | ASF | Астрахань,842
URKA,UUOB,URKA | AAQ | Анапа | Витязево,UUOB | EGO | Белгород,629
URKA,UUBP,URKA | AAQ | Анапа | Витязево,UUBP | BZK | Брянск,941
URKA,URMO,URKA | AAQ | Анапа | Витязево,URMO | OGZ | Владикавказ | Беслан,614
URKA,URWW,URKA | AAQ | Анапа | Витязево,URWW | VOG | Волгоград | Гумрак,678
URKA,UUOO,URKA | AAQ | Анапа | Витязево,UUOO | VOZ | Воронеж | Чертовицкое,770
URKA,URKG,URKA | AAQ | Анапа | Витязево,URKG | GDZ | Геленджик,70
URKA,URMG,URKA | AAQ | Анапа | Витязево,URMG | GRV | Грозный | Северный,691
URKA,URKK,URKA | AAQ | Анапа | Витязево,URKK | KRR | Краснодар | Пашковский,143
URKA,UUOK,URKA | AAQ | Анапа | Витязево,UUOK | URS | Курск | Восточный,754
URKA,UUOL,URKA | AAQ | Анапа | Витязево,UUOL | LPK | Липецк,871
URKA,URMS,URKA | AAQ | Анапа | Витязево,URMS | IGT | Магас,640
URKA,URML,URKA | AAQ | Анапа | Витязево,URML | MCX | Махачкала | Уйташ,861
URKA,URMM,URKA | AAQ | Анапа | Витязево,URMM | MRV | Минеральные Воды,463
URKA,URMN,URKA | AAQ | Анапа | Витязево,URMN | NAL | Нальчик,528
URKA,URRP,URKA | AAQ | Анапа | Витязево,URRP | ROV | Ростов-на-Дону | Платов,340
URKA,UWSG,URKA | AAQ | Анапа | Витязево,UWSG | Саратов | Гагарин,990
URKA,URFB,URKA | AAQ | Анапа | Витязево,URFB | Севастополь | Бельбек,300
URKA,URFF,URKA | AAQ | Анапа | Витязево,URFF | Симферополь,265
URKA,URSS,URKA | AAQ | Анапа | Витязево,URSS | AER | Сочи,270
URKA,URMT,URKA | AAQ | Анапа | Витязево,URMT | STW | Ставрополь | Шпаковское,375
URKA,UUOT,URKA | AAQ | Анапа | Витязево,UUOT | TBW | Тамбов | Донское,918
URKA,URWI,URKA | AAQ | Анапа | Витязево,URWI | ESL | Элиста,564
ULMK,ULAA,ULMK | KVK | Апатиты | Хибины,ULAA | ARH | Архангельск | Талаги,453
ULMK,ULLK,ULMK | KVK | Апатиты | Хибины,ULLK | Великий Новгород | Кречевицы,990
ULMK,ULWW,ULMK | KVK | Апатиты | Хибины,ULWW | VGD | Вологда,964
ULMK,ULMM,ULMK | KVK | Апатиты | Хибины,ULMM | MMK | Мурманск,151
ULMK,ULAM,ULMK | KVK | Апатиты | Хибины,ULAM | NNM | Нарьян-Мар,829
ULMK,ULPB,ULMK | KVK | Апатиты | Хибины,ULPB | PES | Петрозаводск | Бесовец,622
ULMK,ULLI,ULMK | KVK | Апатиты | Хибины,ULLI | LED | Санкт-Петербург | Пулково,869
ULMK,ULAS,ULMK | KVK | Апатиты | Хибины,ULAS | CSH | Соловки,287
ULMK,ULWC,ULMK | KVK | Апатиты | Хибины,ULWC | CEE | Череповец,938
ULAA,ULMK,ULAA | ARH | Архангельск | Талаги,ULMK | KVK | Апатиты | Хибины,453
ULAA,ULDW,ULAA | ARH | Архангельск | Талаги,ULDW | VRI | Варандей,900
ULAA,ULLK,ULAA | ARH | Архангельск | Талаги,ULLK | Великий Новгород | Кречевицы,827
ULAA,ULWW,ULAA | ARH | Архангельск | Талаги,ULWW | VGD | Вологда,594
ULAA,UUBI,ULAA | ARH | Архангельск | Талаги,UUBI | IWA | Иваново | Южный,853
ULAA,UWKJ,ULAA | ARH | Архангельск | Талаги,UWKJ | JOK | Йошкар-Ола,961
ULAA,USKK,ULAA | ARH | Архангельск | Талаги,USKK | KVX | Киров | Победилово,818
ULAA,UUBA,ULAA | ARH | Архангельск | Талаги,UUBA | KMW | Кострома | Сокеркино,758
ULAA,UUEE,ULAA | ARH | Архангельск | Талаги,UUEE | SVO | Москва | Шереметьево,978
ULAA,ULMM,ULAA | ARH | Архангельск | Талаги,ULMM | MMK | Мурманск,583
ULAA,ULAM,ULAA | ARH | Архангельск | Талаги,ULAM | NNM | Нарьян-Мар,653
ULAA,UWGG,ULAA | ARH | Архангельск | Талаги,UWGG | GOJ | Нижний Новгород | Стригино,947
ULAA,ULPB,ULAA | ARH | Архангельск | Талаги,ULPB | PES | Петрозаводск | Бесовец,447
ULAA,ULLI,ULAA | ARH | Архангельск | Талаги,ULLI | LED | Санкт-Петербург | Пулково,761
ULAA,ULAS,ULAA | ARH | Архангельск | Талаги,ULAS | CSH | Соловки,241
ULAA,UUYY,ULAA | ARH | Архангельск | Талаги,UUYY | SCW | Сыктывкар,606
ULAA,UUYS,ULAA | ARH | Архангельск | Талаги,UUYS | USK | Усинск,789
ULAA,ULWC,ULAA | ARH | Архангельск | Талаги,ULWC | CEE | Череповец,609
ULAA,UUDL,ULAA | ARH | Архангельск | Талаги,UUDL | IAR | Ярославль | Туношна,784
URWA,URKA,URWA | ASF | Астрахань,URKA | AAQ | Анапа | Витязево,842
URWA,UWSB,URWA | ASF | Астрахань,UWSB | BWO | Балаково | Малая Быковка,620
URWA,UUOB,URWA | ASF | Астрахань,UUOB | EGO | Белгород,972
URWA,URMO,URWA | ASF | Астрахань,URMO | OGZ | Владикавказ | Беслан,435
URWA,URWW,URWA | ASF | Астрахань,URWW | VOG | Волгоград | Гумрак,391
URWA,UUOO,URWA | ASF | Астрахань,UUOO | VOZ | Воронеж | Чертовицкое,887
URWA,URKG,URWA | ASF | Астрахань,URKG | GDZ | Геленджик,804
URWA,URMG,URWA | ASF | Астрахань,URMG | GRV | Грозный | Северный,369
URWA,URKK,URWA | ASF | Астрахань,URKK | KRR | Краснодар | Пашковский,702
URWA,UUOL,URWA | ASF | Астрахань,UUOL | LPK | Липецк,940
URWA,URMS,URWA | ASF | Астрахань,URMS | IGT | Магас,405
URWA,URML,URWA | ASF | Астрахань,URML | MCX | Махачкала | Уйташ,386
URWA,URMM,URWA | ASF | Астрахань,URMM | MRV | Минеральные Воды,449
URWA,URMN,URWA | ASF | Астрахань,URMN | NAL | Нальчик,462
URWA,UWOO,URWA | ASF | Астрахань,UWOO | REN | Оренбург,819
URWA,UWOR,URWA | ASF | Астрахань,UWOR | OSW | Орск,942
URWA,UWPP,URWA | ASF | Астрахань,UWPP | PEZ | Пенза,789
URWA,URRP,URWA | ASF | Астрахань,URRP | ROV | Ростов-на-Дону | Платов,630
URWA,UWWW,URWA | ASF | Астрахань,UWWW | KUF | Самара | Курумоч,817
URWA,UWPS,URWA | ASF | Астрахань,UWPS | SKX | Саранск,894
URWA,UWSG,URWA | ASF | Астрахань,UWSG | Саратов | Гагарин,618
URWA,URSS,URWA | ASF | Астрахань,URSS | AER | Сочи,710
URWA,URMT,URWA | ASF | Астрахань,URMT | STW | Ставрополь | Шпаковское,477
URWA,UUOT,URWA | ASF | Астрахань,UUOT | TBW | Тамбов | Донское,865
URWA,UWLL,URWA | ASF | Астрахань,UWLL | ULV | Ульяновск | Баратаевка,888
URWA,URWI,URWA | ASF | Астрахань,URWI | ESL | Элиста,284
UHNA,UEEA,UHNA | Аян | Мунук,UEEA | ADH | Алдан,793
UHNA,UHBB,UHNA | Аян | Мунук,UHBB | BQS | Благовещенск | Игнатьево,970
UHNA,UHNB,UHNA | Аян | Мунук,UHNB | BQG | Богородское,477
UHNA,UHHG,UHNA | Аян | Мунук,UHHG | Бомнак,609
UHNA,UHBE,UHNA | Аян | Мунук,UHBE | Зея | Зея,762
UHNA,UHKK,UHNA | Аян | Мунук,UHKK | KXK | Комсомольск-на-Амуре | Хурба,674
UHNA,UHMM,UHNA | Аян | Мунук,UHMM | GDX | Магадан | Сокол,838
UHNA,UEMM,UHNA | Аян | Мунук,UEMM | GYG | Маган,794
UHNA,UELL,UHNA | Аян | Мунук,UELL | NER | Нерюнгри | Чульман,805
UHNA,UHNN,UHNA | Аян | Мунук,UHNN | NLI | Николаевск-на-Амуре,401
UHNA,UHSN,UHNA | Аян | Мунук,UHSN | NGK | Ноглики,615
UHNA,UHSH,UHNA | Аян | Мунук,UHSH | OHH | Оха | Новостройка,448
UHNA,UHOO,UHNA | Аян | Мунук,UHOO | OHO | Охотск,445
UHNA,UHBW,UHNA | Аян | Мунук,UHBW | TYD | Тында | Тында,839
UHNA,UEMU,UHNA | Аян | Мунук,UEMU | UMS | Усть-Мая,485
UHNA,UEMT,UHNA | Аян | Мунук,UEMT | USR | Усть-Нера,945
UHNA,UHHH,UHNA | Аян | Мунук,UHHH | KHV | Хабаровск | Новый,900
UHNA,UEMH,UHNA | Аян | Мунук,UEMH | KDY | Хандыга | Теплый Ключ,711
UHNA,UHNH,UHNA | Аян | Мунук,UHNH | Херпучи,387
UHNA,UHHY,UHNA | Аян | Мунук,UHHY | Чумикан,259
UHNA,UHSK,UHNA | Аян | Мунук,UHSK | EKS | Шахтерск,850
UHNA,UHBP,UHNA | Аян | Мунук,UHBP | Экимчан | Экимчан,496
UHNA,UEEE,UHNA | Аян | Мунук,UEEE | YKS | Якутск,786
UNIB,UNAA,UNIB | Байкит,UNAA | ABA | Абакан,931
UNIB,UERA,UNIB | Байкит,UERA | Айхал,884
UNIB,UIBB,UNIB | Байкит,UIBB | BTK | Братск,665
UNIB,UNIW,UNIB | Байкит,UNIW | Ванавара,354
UNIB,UNII,UNIB | Байкит,UNII | EIE | Енисейск,427
UNIB,UIKE,UNIB | Байкит,UIKE | ERG | Ербогачен,623
UNIB,UOII,UNIB | Байкит,UOII | IAA | Игарка,791
UNIB,UNEE,UNIB | Байкит,UNEE | KEJ | Кемерово | Имени Алексея Леонова,928
UNIB,UIKK,UNIB | Байкит,UIKK | KCK | Киренск,787
UNIB,UNKI,UNIB | Байкит,UNKI | Кодинск,387
UNIB,UNKL,UNIB | Байкит,UNKL | KJA | Красноярск | Емельяново,651
UNIB,UERL,UNIB | Байкит,UERL | ULK | Ленск | Ленск,995
UNIB,UERR,UNIB | Байкит,UERR | MJZ | Мирный,925
UNIB,UNIM,UNIB | Байкит,UNIM | Мотыгино,399
UNIB,UOOO,UNIB | Байкит,UOOO | NSK | Норильск | Алыкель,945
UNIB,UNIP,UNIB | Байкит,UNIP | TGP | Подкаменная Тунгуска,336
UNIB,UERP,UNIB | Байкит,UERP | PYJ | Полярный,925
UNIB,UNIS,UNIB | Байкит,UNIS | Северо-Енисейск,231
UNIB,UECT,UNIB | Байкит,UECT | TLK | Талакан,823
UNIB,USDS,UNIB | Байкит,USDS | TQL | Тарко-Сале,993
UNIB,USDO,UNIB | Байкит,USDO | Толька,771
UNIB,UNTT,UNIB | Байкит,UNTT | TOF | Томск | Богашёво,868
UNIB,UNIT,UNIB | Байкит,UNIT | Тура-Горный,360
UNIB,UOTT,UNIB | Байкит,UOTT | THX | Туруханск | Туруханск,618
UNIB,UITT,UNIB | Байкит,UITT | UKX | Усть-Кут | Усть-Кут,756
UWSB,URWA,UWSB | BWO | Балаково | Малая Быковка,URWA | ASF | Астрахань,620
UWSB,UUOB,UWSB | BWO | Балаково | Малая Быковка,UUOB | EGO | Белгород,789
UWSB,UUBP,UWSB | BWO | Балаково | Малая Быковка,UUBP | BZK | Брянск,931
UWSB,URMO,UWSB | BWO | Балаково | Малая Быковка,URMO | OGZ | Владикавказ | Беслан,990
UWSB,URWW,UWSB | BWO | Балаково | Малая Быковка,URWW | VOG | Волгоград | Гумрак,419
UWSB,ULWW,UWSB | BWO | Балаково | Малая Быковка,ULWW | VGD | Вологда,960
UWSB,UUOO,UWSB | BWO | Балаково | Малая Быковка,UUOO | VOZ | Воронеж | Чертовицкое,586
UWSB,URMG,UWSB | BWO | Балаково | Малая Быковка,URMG | GRV | Грозный | Северный,954
UWSB,UUBW,UWSB | BWO | Балаково | Малая Быковка,UUBW | ZIA | Раменское | Жуковский,754
UWSB,UUBI,UWSB | BWO | Балаково | Малая Быковка,UUBI | IWA | Иваново | Южный,717
UWSB,USII,UWSB | BWO | Балаково | Малая Быковка,USII | IJK | Ижевск,666
UWSB,UWKJ,UWSB | BWO | Балаково | Малая Быковка,UWKJ | JOK | Йошкар-Ола,539
UWSB,UWKD,UWSB | BWO | Балаково | Малая Быковка,UWKD | KZN | Казань,429
UWSB,UUBC,UWSB | BWO | Балаково | Малая Быковка,UUBC | KLF | Калуга | Грабцево,815
UWSB,USKK,UWSB | BWO | Балаково | Малая Быковка,USKK | KVX | Киров | Победилово,746
UWSB,UUBA,UWSB | BWO | Балаково | Малая Быковка,UUBA | KMW | Кострома | Сокеркино,789
UWSB,URKK,UWSB | BWO | Балаково | Малая Быковка,URKK | KRR | Краснодар | Пашковский,987
UWSB,UUOK,UWSB | BWO | Балаково | Малая Быковка,UUOK | URS | Курск | Восточный,789
UWSB,UUOL,UWSB | BWO | Балаково | Малая Быковка,UUOL | LPK | Липецк,567
UWSB,URMS,UWSB | BWO | Балаково | Малая Быковка,URMS | IGT | Магас,970
UWSB,USCM,UWSB | BWO | Балаково | Малая Быковка,USCM | MQF | Магнитогорск,764
UWSB,URMM,UWSB | BWO | Балаково | Малая Быковка,URMM | MRV | Минеральные Воды,916
UWSB,UUWW,UWSB | BWO | Балаково | Малая Быковка,UUWW | VKO | Москва | Внуково,805
UWSB,UUDD,UWSB | BWO | Балаково | Малая Быковка,UUDD | DME | Москва | Домодедово,760
UWSB,UUEE,UWSB | BWO | Балаково | Малая Быковка,UUEE | SVO | Москва | Шереметьево,817
UWSB,URMN,UWSB | BWO | Балаково | Малая Быковка,URMN | NAL | Нальчик,977
UWSB,UWKE,UWSB | BWO | Балаково | Малая Быковка,UWKE | NBC | Нижнекамск | Бегишево,502
UWSB,UWGG,UWSB | BWO | Балаково | Малая Быковка,UWGG | GOJ | Нижний Новгород | Стригино,551
UWSB,UWOO,UWSB | BWO | Балаково | Малая Быковка,UWOO | REN | Оренбург,531
UWSB,UWOR,UWSB | BWO | Балаково | Малая Быковка,UWOR | OSW | Орск,758
UWSB,UWPP,UWSB | BWO | Балаково | Малая Быковка,UWPP | PEZ | Пенза,231
UWSB,USPP,UWSB | BWO | Балаково | Малая Быковка,USPP | PEE | Пермь | Большое Савино,856
UWSB,URRP,UWSB | BWO | Балаково | Малая Быковка,URRP | ROV | Ростов-на-Дону | Платов,743
UWSB,UWWW,UWSB | BWO | Балаково | Малая Быковка,UWWW | KUF | Самара | Курумоч,244
UWSB,UWPS,UWSB | BWO | Балаково | Малая Быковка,UWPS | SKX | Саранск,304
UWSB,UWSG,UWSB | BWO | Балаково | Малая Быковка,UWSG | Саратов | Гагарин,109
UWSB,URMT,UWSB | BWO | Балаково | Малая Быковка,URMT | STW | Ставрополь | Шпаковское,857
UWSB,UUOT,UWSB | BWO | Балаково | Малая Быковка,UUOT | TBW | Тамбов | Донское,439
UWSB,UWLL,UWSB | BWO | Балаково | Малая Быковка,UWLL | ULV | Ульяновск | Баратаевка,270
UWSB,UWUU,UWSB | BWO | Балаково | Малая Быковка,UWUU | UFA | Уфа,620
UWSB,UWKS,UWSB | BWO | Балаково | Малая Быковка,UWKS | CSY | Чебоксары,471
UWSB,USCC,UWSB | BWO | Балаково | Малая Быковка,USCC | CEK | Челябинск | Баландино,986
UWSB,URWI,UWSB | BWO | Балаково | Малая Быковка,URWI | ESL | Элиста,658
UWSB,UUDL,UWSB | BWO | Балаково | Малая Быковка,UUDL | IAR | Ярославль | Туношна,800
UNBB,UNAA,UNBB | BAX | Барнаул | Имени Германа Титова,UNAA | ABA | Абакан,521
UNBB,UNBG,UNBB | BAX | Барнаул | Имени Германа Титова,UNBG | RGK | Горно-Алтайск,219
UNBB,UNII,UNBB | BAX | Барнаул | Имени Германа Титова,UNII | EIE | Енисейск,780
UNBB,UNEE,UNBB | BAX | Барнаул | Имени Германа Титова,UNEE | KEJ | Кемерово | Имени Алексея Леонова,269
UNBB,UNKL,UNBB | BAX | Барнаул | Имени Германа Титова,UNKL | KJA | Красноярск | Емельяново,654
UNBB,UNKY,UNBB | BAX | Барнаул | Имени Германа Титова,UNKY | KYZ | Кызыл,760
UNBB,UNIM,UNBB | BAX | Барнаул | Имени Германа Титова,UNIM | Мотыгино,882
UNBB,USNN,UNBB | BAX | Барнаул | Имени Германа Титова,USNN | NJC | Нижневартовск | Нижневартовск,945
UNBB,UNWW,UNBB | BAX | Барнаул | Имени Германа Титова,UNWW | NOZ | Новокузнецк | Спиченково,226
UNBB,UNNT,UNBB | BAX | Барнаул | Имени Германа Титова,UNNT | OVB | Новосибирск | Толмачёво,195
UNBB,UNOO,UNBB | BAX | Барнаул | Имени Германа Титова,UNOO | OMS | Омск Центральный,691
UNBB,UNIP,UNBB | BAX | Барнаул | Имени Германа Титова,UNIP | TGP | Подкаменная Тунгуска,993
UNBB,UNIS,UNBB | BAX | Барнаул | Имени Германа Титова,UNIS | Северо-Енисейск,968
UNBB,UNTT,UNBB | BAX | Барнаул | Имени Германа Титова,UNTT | TOF | Томск | Богашёво,352
UEBB,UESG,UEBB | Батагай,UESG | BGN | Белая Гора,490
UEBB,UENI,UEBB | Батагай,UENI | VHV | Верхневилюйск,810
UEBB,UENW,UEBB | Батагай,UENW | VYI | Вилюйск,735
UEBB,UEBD,UEBB | Батагай,UEBD | Депутатский,287
UEBB,UEVV,UEBB | Батагай,UEVV | ZIX | Жиганск,498
UEBB,UESU,UEBB | Батагай,UESU | ZKP | Зырянка,743
UEBB,UEMM,UEBB | Батагай,UEMM | GYG | Маган,663
UEBB,UEMA,UEBB | Батагай,UEMA | MQJ | Мома,395
UEBB,UENN,UEBB | Батагай,UENN | NYR | Нюрба,895
UEBB,UERO,UEBB | Батагай,UERO | ONK | Оленек,925
UEBB,UERP,UEBB | Батагай,UERP | PYJ | Полярный,991
UEBB,UEBS,UEBB | Батагай,UEBS | SUK | Саккырыр,182
UEBB,UEMS,UEBB | Батагай,UEMS | Сангар,528
UEBB,UERS,UEBB | Батагай,UERS | SYS | Саскылах,920
UEBB,UHMS,UEBB | Батагай,UHMS | Сеймчан,975
UEBB,UESK,UEBB | Батагай,UESK | SEK | Среднеколымск,808
UEBB,UEST,UEBB | Батагай,UEST | IKS | Тикси,503
UEBB,UEBT,UEBB | Батагай,UEBT | UKG | Усть-Куйга,266
UEBB,UEMU,UEBB | Батагай,UEMU | UMS | Усть-Мая,812
UEBB,UEMT,UEBB | Батагай,UEMT | USR | Усть-Нера,513
UEBB,UEMH,UEBB | Батагай,UEMH | KDY | Хандыга | Теплый Ключ,550
UEBB,UESO,UEBB | Батагай,UESO | CKH | Чокурдах,619
UEBB,UEEE,UEBB | Батагай,UEEE | YKS | Якутск,661
UESG,UEBB,UESG | BGN | Белая Гора,UEBB | Батагай,490
UESG,UEBD,UESG | BGN | Белая Гора,UEBD | Депутатский,270
UESG,UEVV,UESG | BGN | Белая Гора,UEVV | ZIX | Жиганск,983
UESG,UESU,UESG | BGN | Белая Гора,UESU | ZKP | Зырянка,372
UESG,UHMK,UESG | BGN | Белая Гора,UHMK | KPW | Кепервеем,825
UESG,UHMM,UESG | BGN | Белая Гора,UHMM | GDX | Магадан | Сокол,987
UESG,UEMA,UESG | BGN | Белая Гора,UEMA | MQJ | Мома,266
UESG,UHMN,UESG | BGN | Белая Гора,UHMN | Омолон,725
UESG,UHMF,UESG | BGN | Белая Гора,UHMF | Омсукчан,808
UESG,UHMP,UESG | BGN | Белая Гора,UHMP | PWE | Певек,970
UESG,UEBS,UESG | BGN | Белая Гора,UEBS | SUK | Саккырыр,661
UESG,UEMS,UESG | BGN | Белая Гора,UEMS | Сангар,982
UESG,UHMW,UESG | BGN | Белая Гора,UHMW | SWV | Северо-Эвенск,953
UESG,UHMS,UESG | BGN | Белая Гора,UHMS | Сеймчан,688
UESG,UESK,UESG | BGN | Белая Гора,UESK | SEK | Среднеколымск,335
UESG,UEST,UESG | BGN | Белая Гора,UEST | IKS | Тикси,741
UESG,UEBT,UESG | BGN | Белая Гора,UEBT | UKG | Усть-Куйга,447
